rir_set,num_mics,num_ls,reverberator,loop_gain,loop_gain_is_relative
1,16,16,1,-4,1
1,16,16,1,-2,1
1,16,16,2,-68,0
1,16,16,3,-68,0
1,16,16,4,-68,0
1,16,16,5,-68,0
5,16,16,1,-34.2,0
5,16,16,1,-2,1
1,16,16,6,-5,1
1,16,16,5,-5,1
4,16,16,6,-5,1
4,16,16,7,-5,1
1,16,16,6,-6,1
1,16,16,6,-5.75,1
1,16,16,6,-5.5,1
1,16,16,6,-5.25,1
1,16,16,6,-5,1
1,16,16,6,-4.75,1
1,16,16,6,-4.5,1
1,16,16,6,-4.25,1
1,16,16,6,-4,1
1,16,16,6,-3.75,1
1,16,16,6,-3.5,1
1,16,16,6,-3.25,1
1,16,16,6,-3,1
1,16,16,6,-2.75,1
1,16,16,6,-2.5,1
1,16,16,6,-2.25,1
1,16,16,6,-2,1
1,16,16,6,-1.75,1
1,16,16,6,-1.5,1
4,16,16,6,-6,1
4,16,16,6,-5.75,1
4,16,16,6,-5.5,1
4,16,16,6,-5.25,1
4,16,16,6,-5,1
4,16,16,6,-4.75,1
4,16,16,6,-4.5,1
4,16,16,6,-4.25,1
4,16,16,6,-4,1
4,16,16,6,-3.75,1
4,16,16,6,-3.5,1
4,16,16,6,-3.25,1
4,16,16,6,-3,1
4,16,16,6,-2.75,1
4,16,16,6,-2.5,1
4,16,16,6,-2.25,1
4,16,16,6,-2,1
4,16,16,6,-1.75,1
4,16,16,6,-1.5,1
2,8,8,1,-2,1
3,8,8,1,-2,1
