rir_set,num_mics,num_ls,reverberator,loop_gain,loop_gain_is_relative
1,16,16,1,-4,1
1,16,16,1,-2,1
1,16,16,5,-68,0
1,16,16,6,-68,0
1,16,16,7,-68,0
1,16,16,8,-68,0
8,16,16,1,-5,1
8,16,16,1,-2,1
1,16,16,14,-5,1
1,16,16,15,-5,1
12,16,16,14,-5,1
12,16,16,16,-5,1
1,16,16,14,-6,1
1,16,16,14,-5.75,1
1,16,16,14,-5.5,1
1,16,16,14,-5.25,1
1,16,16,14,-5,1
1,16,16,14,-4.75,1
1,16,16,14,-4.5,1
1,16,16,14,-4.25,1
1,16,16,14,-4,1
1,16,16,14,-3.75,1
1,16,16,14,-3.5,1
1,16,16,14,-3.25,1
1,16,16,14,-3,1
1,16,16,14,-2.75,1
1,16,16,14,-2.5,1
1,16,16,14,-2.25,1
1,16,16,14,-2,1
1,16,16,14,-1.75,1
1,16,16,14,-1.5,1
12,16,16,14,-6,1
12,16,16,14,-5.75,1
12,16,16,14,-5.5,1
12,16,16,14,-5.25,1
12,16,16,14,-5,1
12,16,16,14,-4.75,1
12,16,16,14,-4.5,1
12,16,16,14,-4.25,1
12,16,16,14,-4,1
12,16,16,14,-3.75,1
12,16,16,14,-3.5,1
12,16,16,14,-3.25,1
12,16,16,14,-3,1
12,16,16,14,-2.75,1
12,16,16,14,-2.5,1
12,16,16,14,-2.25,1
12,16,16,14,-2,1
12,16,16,14,-1.75,1
12,16,16,14,-1.5,1
9,8,8,1,-2,1
10,8,8,1,-2,1
